coverage,success,makespan,return,defect_rate,rework,waiting,bits,file
100.0,100.0,21.5,284.2,0.156,3.9,2.0,0.0,E2_MAPPO_Shield_ep16000_s0.log
100.0,100.0,21.1,286.7,0.15,3.74,2.0,0.0,E2_MAPPO_Shield_ep16000_s1.log
100.0,100.0,21.3,286.8,0.143,3.58,2.8,0.0,E2_MAPPO_Shield_ep16000_s2.log
100.0,100.0,21.1,286.5,0.14,3.5,2.0,0.0,E2_MAPPO_Shield_ep16000_s3.log
99.9,98.0,53.2,262.6,0.146,3.66,2.1,0.0,E2_MAPPO_Shield_ep16000_s4.log
