Method,Return,Makespan,Waiting,Collision,Rework,Bits
Greedy,222.04 ± 0.40,41.43 ± 0.12,0.00 ± 0.00,48.44 ± 0.27,3.75 ± 0.04,0.00 ± 0.00
Greedy-Reservation,284.40 ± 0.22,24.80 ± 0.05,0.00 ± 0.00,1.38 ± 0.06,3.77 ± 0.06,0.00 ± 0.00
