Aggregation,Return,Makespan,Waiting,Collision,Rework,Bits
Mean aggregation,287.26 ± 0.58,21.26 ± 0.77,5.18 ± 0.78,0.00 ± 0.00,3.69 ± 0.08,248.92 ± 9.65
No aggregation,287.26 ± 0.58,21.26 ± 0.77,5.18 ± 0.78,0.00 ± 0.00,3.69 ± 0.08,248.92 ± 9.65
