method,return_mean,return_std,makespan_mean,makespan_std,waiting_mean,waiting_std,collision_mean,collision_std,rework_mean,rework_std,bits_mean,bits_std
Greedy,222.04,0.4,41.43,0.12,0.0,0.0,48.44,0.27,3.75,0.04,0.0,0.0
Greedy-Reservation,284.4,0.22,24.8,0.05,0.0,0.0,1.38,0.06,3.77,0.06,0.0,0.0
IQL,283.99,1.78,28.01,3.17,9.75,3.33,1.14,0.66,3.67,0.12,0.0,0.0
IQL+Shield,284.55,0.64,27.05,1.06,6.9,1.13,0.0,0.0,3.71,0.11,0.0,0.0
VDN,285.22,1.27,26.94,1.4,9.17,2.78,0.41,0.49,3.71,0.11,0.0,0.0
MAPPO,286.5,1.1,21.49,0.42,2.04,0.07,0.69,0.28,3.67,0.22,0.0,0.0
MAPPO+Shield,281.36,10.54,27.64,14.29,2.18,0.35,0.0,0.0,3.68,0.15,0.0,0.0
CCT-MARL,287.19,0.65,21.36,0.29,4.84,0.61,0.0,0.0,3.7,0.18,242.34,5.73
